Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
ANR17,2215.97,3409.16,8044.82,12681.31,2851.98,3312.1,8608.05,10726.22,3559.02,3337.02,4912.71,9791.94
ANR23,0,0,0,4,1,2,1,5,3,1,0,8
ANR26,18,24,18.51,19,0,0,0,5.09,0,0,0,0.97
ANR32,139.93,505.53,387.03,248.91,227,604.99,326,220,564.05,540.61,160,237
ANR39,95,160.74,259.31,268.8,97,175,265,252.04,148,99,138.07,194.93
ANR61,177,216,167,1156.02,211,218,145,622,278,244,102,530
ANTR,1,1,13,0,2,0,20,0,1,0,4,2
ANTR1,92.97,158,355,16,143,234,286.06,23,267,139,228,18
ANTR2,249,289,2774.7,104.26,327,334.2,2391.75,56,438.21,404,1326.08,96
ANX10,0,0,93,10,0,0,17,1,0,0,65,7
ANX12,74,102,2104.03,66,29,131,839,32,88,74,1099,52
ANXA2,471,578.16,6637.98,2202.19,268,358,4795.92,1751,634,407,3464.54,1767.95
ANXA4,57,79,108,19,43,101,118,12,52,52,75,17
ANXA5,1055,1730,5770.24,281,851.23,1392.98,4482.53,265,914,1132,2660.87,168
AOC3,2,3,6,0,3,2,6,2,3,2,3,0
AP180,72,90,1,0,77,104,2,2,121,92,1,0
AP1AR,247,428.06,419,186,278,352,534.87,158.19,449.99,392.53,270,163
AP1B1,49,86,100,53,64,96.04,94,49,94,70,53,31
AP1M1,21,20,26,109,17,14,59,91,22,25,22.16,120
AP1S1,431.42,575.99,274.22,496.22,230.53,142.21,352.92,465.08,611.97,123.41,57.14,322.6
AP1S3,21,22,1204.27,99,32,22,1136.89,117.07,30,25,479.84,101
AP2B,92,485,51,6,252,41,88,5,13,189,57,0
AP3B2,722.08,1155.47,373,357.08,887,1089.33,310,590.64,1195.84,1177.77,162,305
AP3D1,2198.01,4465.95,6626.19,5105.57,2952.11,4396.91,6645.43,3287.88,4723.81,3704.79,3901.42,3065.07
AP5S1,13,22,86,105,15,26,44,133,37,26,25,53
APC15,433,716.01,973.57,829.34,415,487.38,715.02,693.09,605.05,530.99,434.14,666
APC16,364.83,861.95,969.72,520.69,444,839.54,967.24,487,809,710,326.92,480.89
APEX1,106.54,181.12,244.46,95.01,132,225.09,255.16,72,227.3,222.57,130.46,64.9
APH1A,44,109.7,129.74,404.43,98,107,126,311.48,83,102,69,208
APH1B,116,229,261,760,176.07,268,323,542,165,231,115,356
APLD1,3,0,146,5,4,2,75,4,1,0,24,6
APOA1,11701.02,27101.93,91889.25,3697,21776.07,31129.56,66976.74,1621,22325.98,23170.41,48619.25,1940.87
APOA2,1,0,3,0,0,0,32,4,0,1,5,0
APOA4,8,8,11,25,8,17,11,29,12,3,9,10
APOB,0,0,0,3,0,0,0,5,0,0,1,2
APOC2,1,2,0,0,5,3,0,0,0,2,1,1
APOF,5,3,41,20,10,5,14,7,1,2,11,8.02
APOV1,0,2,0,1,0,2,0,2,0,0,10,2
APR,0,3,19,0,2,3,10,4,2,0,2,3
AQ12B,0,0,0,0,1,0,1,0,0,0,0,0
AQP3,50,64,236,9,34,76,108,7,40,76,83,27
AQP5,0,3,24,2,1,11,26,2,19,3,24,0
AR13A,0,0,1,6,0,0,0,4.55,0,0,0,11
AR8BA,790.24,1426.04,237,344.87,540.21,1366.27,361,559,944.11,708.69,122.03,459.03
ARBK1,500.44,686.54,993.05,313.01,544.02,725.33,843.53,281,755.03,729.11,444.03,294.94
ARC1A,1405,2772.15,5314.89,1273.28,1702.9,2967.02,4921.02,857,3503,2233.08,2481.78,908
ARDH,3,14,2,92,6,24.97,8,38,9,10,0,22
ARFG3,554,1079,2871.21,2184,875,1186,2793.22,2572.22,1200.93,854,1249.97,2679.42
ARFRP,274.4,441,1921.08,2107,384,497,1921.79,1556.62,538,428.98,809.86,2037
ARG28,1.22,7,43,0,2,6,6,2,3,3,4,3
ARHG2,1017.09,2325.97,1439,513.99,1127.99,3571.25,1759,244,5079.09,2018.23,769.48,152
ARHG6,3,2,13,12,3,2,10,3,1,4,16,10
ARI1A,0,2,3,1,1,2,1,0,3,2,2,0
ARI1B,5,8,9,5,3,13,8,4,23,7,3,2
ARL2,305,625,316,235,384,549.77,248,157,631.94,534.18,163,127
ARL8A,1519.74,2979.12,986.65,488,1569,2948.7,763,443.89,3305.82,2460,466,392
ARL9,82,132,628,342,149,121,639,311,142,94,310,173
ARMC5,33,48,31,14,27,35,15,14,35,39,16,13
ARMC7,64,125,250,159,72,82,173,146,82,101,88,89
ARP5L,187,318,779.61,448.01,205,326,866.06,322,338,211,388,283
ARPC4,686.12,1453,4366.03,1551.39,867,1716.94,3049.74,1501,1966,1211,2009.62,1255
ARRB1,0,1,0,2,0,0,0,2,0,0,0,0
ARRC,0,0,0,1,0,0,0,0,0,0,0,0
ARRD3,6,8,1,3,3,8,1,8,7,1,6,5
ARRD5,0,1,0,0,1,0,0,3,1,0,0,13
ARSB,110,329,631,94,82,318.72,327,115,184.99,314,380,77
ARSD,1,0,4,4,3,1,5,0,0,2,0,1
ARSG,7,16,26,9,4,7,23,11,9,15,14,11
ART2,1,0,0,0,0,0,1,0,0,0,1,0
ARTN,2,10,33,4,4,10,19,5,4,2,11,4
AS19,0,1,2,2,1,1,8,5,3,0,3,4
ASA2B,8,4,15,5,15,13,20,3,12,5,19,4
ASA2C,1,4,2,4,9,8,9,1,9,4,10,3
ASAH2,0,1,0,0,0,0,1,0,3,1,2,0
ASB16,0,0,0,0,0,0,1,1,0,0,0,0
ASIC5,1,9,3,0,0,0,1,0,0,3,2,0
ASMT,6,3,9,17,9,6,28,9,2,7,3,22
ASNA,598.99,1090,997,3219.05,732.02,1021,895,2999,1171,957,483.97,2026.8
ASPD,0,0,0,7,0,0,0,3,0,0,0,12
ASTL,1,2,12,6,0,9,8,2,0,1,7,4
ASXL2,21,28,45,30,19,27,33,18,43,21,35,27
AT12A,0,1,1,2,0,3,2,6,2,0,0,1
AT134,0,0,1,8.99,0,2,4,4,0,0,1,10
