Gene_Symbol,SRR1758112,SRR1758113,SRR1758114,SRR1758115,SRR1758116,SRR1758117,SRR1758118,SRR1758119,SRR1758120,SRR1758121,SRR1758122,SRR1758123
RPA2,434.94,589.2,1553.59,842.97,494.82,663,1468.59,790.82,803.02,593.88,912.27,774
RPA34,29,63,74,15,33,53,97,5,64,56,64,10
RPA49,154,564.02,346,411,236,617.57,409.05,531,331,499.74,155,388
RPAB5,454.29,1013,1132,330,476.35,996,1046.8,303,1061,745,532,322.03
RPB1,0,0,0,0.82,0,0,0,0,2,1,0,2
RPB9,1418.09,2251.32,6226.97,9034.22,1252.08,1408.77,3878.23,4868.25,1654,1516.78,2265.69,4731.55
RPC3,328,787.96,811.93,1900,432,669,582,1997,594.97,619.84,332.98,1056.1
RPC4,573.76,1212.27,1093.93,835,729.4,1113.98,854.22,837,1636.3,932.97,426.23,609.98
RPC7L,1,1,6,1,1,1,3,1,1,2,1,2
RPGF5,2,15,17,0,5,12,10,1,7,8,4,0
RPGFL,298,957,5,48,451.4,854,22,36,1230,565,9,27
RPP29,106,187,903.99,231,110,160,717,168,190.9,191,281.14,169
RPRML,515.27,2134.99,0,1,556.22,3716,0,1,6146.45,1507,1,2
RRAS2,371.01,822.04,2106.89,274,495.11,884,2555.14,260,885.99,632.19,1305,216.26
RRBP1,0,1,4,38,1,3,12,13,0,0,1,28.07
RRFM,255.83,417.46,537,1315.19,321.01,407,545,1195,511.18,427,283.82,885
RRN3,561,1030,775,370.01,610,990.94,786,461.97,1176.83,819.96,407,265.16
RRP12,159,344,627.48,274.99,245,366.01,480,188,382,291,321,224
RS10,1,20,10,9,3,4,2,1,7,7,5,1
RS11,1173.09,2717.04,5589,2942,1621,2676,5581.3,3307,2753.83,2213.01,3284,2524.26
RS12,2058,4609.02,12484.77,5094,2899,5462,11750.16,5107.07,4980.62,3929.25,6896.34,4122
RS15,834,1977.01,4795,3774.98,1163,2039,4409.98,3973,2219,1599.92,2977,3356.11
RS16,973.48,2288.47,5064.88,2021.05,1456.93,2580.46,5767.49,2148.6,2345.86,1634.89,3426.29,1708.48
RS17,1502,3516.7,9113.85,3009.24,1773.92,3661.07,8411.45,2719.36,4100.78,2717,5222.29,2615.36
RS18,0,0,1,1,0,1,2,0.8,0,1,1,0
RS19,1803.75,3801.93,4881.05,1980,2080.87,3640.81,4124.87,2141,3385.43,2975.85,2273,1759.78
RS2,3232,6689.06,14291.02,3004.98,3981.01,7515.91,12483,3879.1,6849.99,4669.07,7093.17,2983
RS23,1504,5072.01,6249.97,5742,1784,4942,5944.97,5318.88,3177,3954.05,3302,4699
RS26,868,2214,3750.01,922.95,1151,2178,3584.09,1160.95,2361,1610,2119,991.68
RS27,1062,2466.99,4449.21,2372.61,868,1381,2924,1574.12,2151.14,1710,2657.02,2084
RS27A,1631.06,3217,7959.74,5180.23,2026.33,3340,7135.74,4958.55,3540.55,2819.51,4222.25,3988.81
RS29,766,1881.08,3790,1842,1094,2028,3961.48,2768.3,1855.27,1525,2007.02,2099
RS3A,6597.74,13711.92,25010.44,12130.72,7540.91,11941.94,23949.66,11086.93,11734.45,9765,15919.15,10184.15
RS4,0,0,0,0,0,0,0,0,2,0,0,0
RS5,1794.96,3666.75,6472.52,2260.08,2314.28,3398.94,6345.32,2419.48,3549.22,2804.13,6221.62,1952.94
RS8,4678.85,9540.04,15741.23,10040.1,6040.29,9720.08,17016.26,9518.01,9552,7588.71,9676.01,7725.95
RS9,2570.08,5218,11602.17,4641.27,2824,3595.69,9489.52,3273.99,4880,4119.9,6732.11,2989.51
RSAD2,76,77.09,10659.21,133,75,62.64,241.92,85,59,64.04,139.6,107.93
RSG1,217,380,757,814,284,371,622,975,380,337,345,823
RSLAB,410,1655,88,3,867,1675.18,66,4,1493,1029.3,176,2
RSPH1,91,118,4,7365.73,84,284,7,5736.91,370.09,161,4,5612.82
RSPO3,155,402,1227.85,51,220,660.63,637,47,391,208,996.13,18
RSSA,1990,4340,13429.18,10621.05,2734,4424,12433,10606.42,4431,3419,8208.58,7539.44
RSU1,333,458.01,2203.88,277,305,591,1580,209,595,446,1044,197
RT06,1044.03,1280.03,4197.62,1570.03,1257.06,1498.97,4327,2093.83,1875.5,1442.93,1921.8,1924.44
RT14,300.07,572.62,541.29,214,348.37,601,580.99,314,561,390,366,208
RT15,600,1131,1443,2118.95,661,940.04,1303.98,1853,1072,807,625,1665
RT18B,213,404.85,534.03,914,215,359,497,403.33,433,420,266,566
RT21,314,632,564,421,415,690.47,514.1,480,612,459.01,238,352
RT24,132,288.57,435,153,194,226.99,324,219.16,308,202,236,145
RT27,543,1752.9,1190.84,1359,604,1671.75,1208.91,1093.98,1012.7,1310,792,906
RT30,233,818,1057,1522,332,792,1079,1113,454,700,509,1189
RT31,347,635,1283,1475,394,678.96,1366,1181,720,539,638.41,1003
RT36,144,477,248.61,683,138,451.4,211,618,242.75,350,117,491
RTBS,0,1,1,3,1,0,3,3,1,2,4,3
RTJK,7,0,2,6,4,1,0,14,5,0,0,10
RTN1,2087,3434,283,612,2392,2769.01,372,408,3252.94,2823,312,505
RTN1A,13891.75,30220.87,320.95,329,15777.11,24449.15,490,257,28772.86,21948.76,287,294.6
RTN2,65,185,129,3,101,197,78,2,219,125,46,4
RTN3,1063.12,2056.99,1231,989.19,1194.05,2031,1009.05,735.98,2442.79,1667.53,613.93,677.87
RTN4R,408,1159.54,111,16,504,1629,69,4,2044.05,997.7,59.99,10
RU17,559,1027.94,1190.85,1693.78,837,1004.99,1058,2108.02,1215.01,969.14,584.54,1516.68
RU1C,221.88,475.55,1244.31,1515.87,224.02,458.35,1050.8,1357.17,426.97,377.16,554.93,1202.11
RU2B,339,751,1810.92,967,525,796,1789.08,648,731,1095,888,1458
RUND1,4803.72,9264.14,11014.14,6055.12,6170.78,9762.3,9675.69,5829.37,11405.8,7826.72,5997.72,4309.14
RUNX2,1,1,2,0,0,0,1,1,2,0,0,0
RUNX3,0,0,12,8,0,3,4,4,0,0,2,5
RUVB1,477,878,1171.26,2622,561,855,1185,1954.21,1091,798.02,552,2359.74
RUVB2,440,923,1677,1625,647.22,885,1579.97,1582.98,1205.28,899.14,830.05,1487
RUXE,156,293,737.92,289,271,347,933,310,430,362,430,354.01
RUXF,151,317.05,1596.88,450,234.59,359.01,1455.76,477,398.97,280,740.97,365
RUXG,141.34,292,926,355,191,298,718,286,388,253,379.06,307
RX2,9,57,1,12,33,43,5,16,42,24.35,2,9
RXRA,352.53,780.13,827.59,1226.03,448,654.98,754.3,1293.98,644.98,513.02,376,974.04
RXRG,1,1,4,1,0,5,4,0,2,0,2,0
RYBP,163,338.29,558.11,318,213.57,343,614,260,340,304,320,292
RYR3,59.05,131.99,297.44,3933.47,82,169,232,3840.07,163.75,130,67,3459
S100B,863.95,716.67,17,13,878,1579.9,39,5,181,789,9,3
S100Z,0,0,0,1,0,2,2,0,23,1,0,3
S10A1,2,8,6,4,4,3,10,3,2,3,1,5
S10A4,8,11,304,0,12,19,212,0,24,15,216,0
S10A6,67,81,2675.87,35,56,97,1998.99,14,123,90,1062.97,17
S10A9,0,0,1,2,0,23,1,0,0,0,0,0
S10AA,155,258,1495.01,200,73.91,151,983,201,150,182,650.77,167
S10AC,1,0,0,0,0,31,4,0,6,0,0,0
S10AD,9,8,26,17,6,3,13,16,7,9,4,19
S10AE,2,0,18,7,1,0,10,0,0,1,9,3
S10AG,16,44,134.01,11,18,23,84,5,22.3,23,52,9
S12A4,300,714,1632,234,431,741.97,2319.85,222,675,500.3,980,211
S13A1,2,1,0,0,6,1,0,1,0,0,0,1
S13A5,0,0,0,2,0,1,0,0,0,1,1,1
S17A9,1,2,9,4,1,4,5,4,0,0,2,2
S19A1,330.97,578.32,554,153,517,678,577,109,534,606.99,357.99,90
S19A3,4,9,1,1,4,5,0,0,4,3,0,0
S226B,11,22,0,19,18,16,1,8,12,30,0,6
S22A1,0,1,1,29,1,1,1,10,0,1,1,3
S22A6,29,77,0,0,11,44,0,0,41,57,0,0
S23A1,0,1,11,0,0,0,12,3,0,0,1,1
S2533,953.69,1884.71,377,222.32,896.23,1557.64,498.9,201,1611.17,687.04,196,115
S26A2,0,3,5,3,1,6,7,0,2,0,6,0
S26A5,0,0,3,0,0,0,1,0,0,0,0,0
S26A6,0,0,2,2,0,0,1,0,0,0,5,1
S27A6,5,28,135.01,55,22,107,157,50,162,30,77,34
S28A3,2,16,3,221.07,4,46,123,303.98,16,10,0,196
S35A2,101.02,193,179,233,146,140,112,284.96,133,154,46,267
S35G1,27,29,961.97,482,36,33,1085.36,423.64,38,33,485,402.23
S36A4,192,337.02,130,1279,185,271,160,809,274,257,72,885
S39A1,25,37,167.08,18,4,14,28,3,16,35,43,16
S39A4,0,0,2,13,1,1,1,9,3,1,3,8
S39A6,2440.99,4625.96,2662.71,2334,2570.8,5309.22,3117.59,1612,5917.71,3959.64,1560,1836
S39A7,134,267.63,405.46,71,231,235,365,64,248,232.91,171,74.8
S39AA,3,7,0,2,1,2,0,0,1,1,0,2
S41A2,518.06,1203,1426.06,1156.78,683,1063,1398.98,1054.99,1237.37,839.03,780.16,1145
S4A5,3,1,2,5,1,1,3,7,3,2,1,15
S4A7,16,25,5,2,16,50,10,1,15,21,6,0
S620A,13,0,0,13,15,1,1,9,3,5,1,11
S6A12,0,2,0,8,1,0,0,5,0,4,0,3
S6A14,0,1,233,0,1,1,227.94,0,3,1,115.06,1
S6A18,0,0,0,5,2,0,0,3,0,0,0,4
S6A20,0,1,0,2,3,0,0,1,0,0,0,2
S7A13,0,2,0,17,1,0,0,30,0,0,0,32
SACA1,2,1,34,1700.41,0,4,38,1859.94,6,2,19,1183.87
SAE1,579.96,1240,1806.98,1234.28,669,1102.18,1712.58,1024.05,1285,900,889.99,1066.89
SALL2,89.97,102.76,28,23,65.11,45.82,12.04,22,74.95,83,12,24
SAMD1,90,177,124,36,125,173,125,47,174,112,97,50
SAMD3,20,24,44,3,17,30,9,11,14,17,1,4
SAMD5,12,36,22,3,25,23,38,4,37,38,27,5
SAMD7,0,0,1,7,0,0,0,3,0,0,0,1
SAP3,1145.32,2138.22,2925.61,89.27,1545.95,2047.44,2007.56,127.1,2543.46,1842.11,1483.92,129
SARCO,8,13,357,2,12,4,284,2,10,14,117,1
SARM1,455,852.99,123,29,523,783,110,44,955,678.55,83,43
SAT1,1537.37,2523.55,6140.93,1182,2083.94,3360.54,5331.09,1280,3732.8,2543.3,2775.18,1156.19
SAT2,11,26,10,7,7,19,3,17,22,29,3,4
SATB1,141,507.19,62.03,27,202.01,752.15,82,32,631.53,486,31,12
SBK1,0,0,3,4,0,0,0,1,3,1,1,7
SBP1,0,0,1,2,0,0,1,0,0,0,0,0
SBSPO,0,2,7,1,2,1,10,1,0,1,3,1
SC11C,411,849.03,775,2099.97,499.26,783.4,751,1682.24,836.11,686.29,383.01,1487.61
SC24A,741,1178.96,7838.93,1563,931.09,1313.38,8084.1,1273,1469,1143.97,4154,1043.14
SC5A7,1,1,1,2,2,1,0,8,0,5,1,6
SC5A9,3,6,1,6,1,10,2,5,6,3,2,5
SC5AA,0,3,1,0,0,0,4,0,0,0,1,1
SC5AC,0,0,47,0,1,0,57,0,0,0,23,0
SC6A1,0,0,0,4,0,0,0,0,0,0,0,0
SC6A4,0,1,0,2,0,0,1,0,0,0,0,0
SC6A7,0,0,0,19,0,0,0,10,0,0,0,17
SC6A8,3782,6101.01,1928,5723.83,3960.78,5073.33,1442,5734.35,4359.01,4953.71,1142,4440.66
SCD5,2966,6598,5366,6694.93,3088,5610.01,4856,6125.34,6229.62,4387.37,2198.98,6249.99
SCG2,9083.24,15698.43,98.06,55,8198.45,22845.08,513,42,24194.93,17216.86,150,46
SCN1A,2,1,1,1,0,9,4,5,12,5,1,3
SCN1B,531.01,767,107,9,703,527,98,15,431,535,62,17
SCN2A,0,3,0,0,0,2,0,0,3,3,2,1
SCN3A,88,171.01,3,4,119,189.01,0,1,350.84,153,1,2
SCN5A,0,0,4,0,0,0,2,0,0,0,0,0
SCN8A,5,5,0,0,11,17,3,0,11,8,0,0
SCN9A,48,84,20,12,17,101,48,30,144.01,64,15.96,23
SCNAA,0,0,0,0,0,0,1,0,0,0,0,0
SCRN1,3287.16,4830.62,531,451,3603.9,4237.98,701,457,4970.25,4055,563,537
SCRN2,174,234.02,430,187.37,184,231,357,124,285,195,190,110
SCRT1,262.02,300.99,0,3,397,272.88,0,3,233,263,3,2
SCRT2,14,21,0,0,10,9,0,3,12,14,0,1
SCUB1,126,246,119,54,159,476,203,51,381,247.79,108,35
SCX,0,1,1,2,0,0,1,5,0,0,0,2
SDC4,163,138,1718.73,242,215.7,141,1624,220,188,289,1023,244
SDCB1,2100,3768,7985.98,2034.01,1868.93,3216.28,7188.65,1681,4196.82,2887.02,3437.21,1830
SDOS,857.7,1464,2675.92,2190,925,1435.92,2174.73,1998.65,1571.11,1212,1154,2191.95
SEA,3,5,22,8,3,7,18,0,6,0,5,2
SEBP2,9,27,4,14,11,26.99,6,8,12,13,0,6
SEC13,511,964,2947.47,1021.64,624.33,1052.23,2794,893.3,1039.64,940.1,1495.7,921
SEC62,1490.15,2772.23,4046.37,983.35,1866.25,2731.57,4916.23,850.53,2784.17,2404.47,2203.42,834.91
SELW,2198.71,4624.51,1894.04,16819.57,2462.93,3912.23,1342.04,15330.12,4043.35,3059.41,784,11634.97
SEM3D,2,1,0,1,0,1,0,0,1,4,0,0
SEM4B,127,304,702,75,126,305.1,811,50,556,268,492.99,69
SEM6A,450,1116.25,231,190,658,603,281,258,504,1019,121,331
SENP3,271,626,605,336,398,558,561,276,637,523,274,285
SERC5,100,263,423,578,147,234,511,773,176,205,402,596.04
SERF2,628,1373.68,1306.99,1626.13,650.36,1694.72,1016.37,2055,1209.31,1039.5,575.73,1122
SERP3,1,3,0,4,1,1,1,2,0,1,0,2
SESD1,1938.85,4106.87,3730.22,567,2655.36,4780.01,3936.47,517,5000.98,3433,2341.01,295
SESN1,32,105,64,30,40,77,82,52,97,85,45,48
SESN3,30,88,76,20,46,78,64,31,99,57,36,32
SET1A,15,34,67,83,34,50,63,95,37,47,48,68
SETD6,558,1035,1079,1778.02,713,1006.99,1263.94,1224.01,1051,859.37,594,1311.69
SETD9,25,59,65,114,21.87,109,50,104,97,88,27,63.09
SETMR,1,1,1,0,2,0,0,0,4,0,0,0
SF3A1,1845,3129.06,8865.48,1972.18,2303,3308,8335.77,1653,3902.8,3255.08,4859.92,1831.9
SF3B5,269,541,813,855.93,429,568.85,756,739,403.04,303.13,314.99,503.03
SFR19,38,94.82,41.03,67.46,104,138,85,78,169,125.97,118,69
SFRP2,0,0,0,2,0,0,0,4,0,0,0,4
SFRP5,0,0,0,0,0,0,0,0,0,0,0,1
SFTPA,6,4,668,5,4,9,191,2,28,8,11,9
SG223,13,9,40,2,10,10,21,3,7,8,11,0
SGCA,10,16,3,18,7,17,12,8,4,5,2,17
SGCD,53,102,167.63,35,71.99,116,160,58,119,58,162.86,62
SGK1,595.22,1118,845.58,31,857,1039.89,1051,30,1107,962.99,385,35
SGK2,258,475.86,4244.22,54,193,310,1561.53,44,76,299,2555.11,27
SGK3,167,335,390.1,81,105,272,461,72,248,195.96,235,45
SGMR1,288,488,1132,190,262,468,1059,186,412,373,461,169
SGTB,2161,4947.04,632,332,2480.39,3652,632,215,3901.97,3710.33,345,288
SH21A,2,1,10,1,2,1,6,3.2,2,1,1,0
SH21B,0,0,3,0,0,1,4,1,1,0,2,6
SH24B,2,1,2,6,1,2,5,1,8,0,7,1
SH2D5,327,1272.99,25,24,627.08,1351.22,14,25,1382.09,922.9,7,16
SH3BG,8,17,46.16,101.99,3,5,25,112.14,11,11,11,95
SH3G2,4762.95,7838.45,579,30,4577.91,6514.61,152,15,6943.97,6556.01,339,19
SH3R2,19,121,3,11,20,218,1,16,263,77,0,8
SHAN1,36,94,3,3,78,127,7,2,89,90,11,3
SHB,12,15,20,6,14,15,28,9,20,22,14,7
SHF,3266.71,3287.07,1428,581,4220.72,2274.01,1296,520,2084.76,3763.94,746,523
SHH,25,62,3,0,28,37,1,1,40,42,0,1
SHIP2,1,4,11,5,4,4,8,2,2,6,10,5
SHKB1,125.03,221,778,415,183,162.02,580.08,336,156,202,337,284
SHOC2,433,784.1,803.02,987,596,905.52,1006.04,526,1129.46,741.64,458,720.88
SHOX,22,99.03,0,0,30,3,2,0,2,33,2,0
SHOX2,49,52,18,3,27,10,58,4,13,42,6,2
SHP2B,0,0,2,1,0,0,0,0,0,0,0,0
SHRM1,24,21,2475.21,161,10,17,2209.86,97,20,36,1208.01,165
SHRM3,2,2,7,10,2,2,8,19,3,2,1,12
SHSA1,0,1,70,36,0,0,6,10,0,0,29.62,18
SHSA7,30,119,54,82,60,212,40,39,327,136,37.09,51
SI1L3,7,16,7,4,6,13,7,10,10,13,5,1
SIA7B,2,0,2,1,0,0,0,0,0,0,0,0
SIA7E,10,22,9,0,21.18,29.58,18,2,30.65,18,6,4.96
SIA8C,2,0,0,0,2,0,0,0,13,0,0,0
SIA8D,113,288,703,109,149,287,603.14,106,240,237,277.99,145
SIAH3,33,137,4,0,64,224,1,1,186,88,1,1
SIAL,6,6,0,0,3,8,0,0,21,1,0,2
SIG15,0,0,0,3,1,0,0,0,0,0,0,2
SIL1,185,402,506.86,1517.16,206,447.98,439.01,1519,363,232,223,1120
SIPA1,15,25,76,88,6,15,39,50,10,21,27,79
SIR2,794,1362.04,1371.88,3511.88,974.31,1224.56,1343.96,3086,1304.82,1203.02,682,2393.1
SIR6,293,500.15,1512,351,531,655.01,1603.35,402,639.67,462.03,753,259
SIX3,1,68,0,1,11,56,1,0,53,28,0,0
SIX6,11,0,0,28,11,30,7,5,1,18,2,23.95
SKAP1,7,11,52,10,2,1,106,4,2,9,17,10
SKDA1,1,0,0,0,0,1,0,1,0,0,1,0
SKOR1,68,5,0,255,93,7,0,252,6,49,1,138
SKOR2,9,0,0,2,7,2,0,0,0,4,0,1
SKP1,0,0,0,1,0,0,0,0,0,0,0,0
SLIP,1,3,6,3,0,1,1,1,1,1,2,0
SLN12,0,0,0,0,0,0,0,0,27,0,25,0
SMAD4,156,101,562.72,20,218,105,875,23,145,246,304,20
SMAD6,9,15,4,0,4,5,6,0,2,4.94,0,0
SMAG2,258,439,1167.61,423.75,373,415,1242.3,399,529,436,673.91,380
SMAGP,0,0,4,1,2,1,2,0,1,0,1,0
SMC2,4,22,1556.01,4454.82,5,40,1355.74,4816.07,22,18,694,3398.01
SMC5,359,808,622.04,5319.63,403,683,525,3394.15,491,1037,276,3688.3
SMCA4,0,0,1,2,1,0,1,0,1,4,0,1
SMCE1,931,1664.86,3814,5191.04,1119.97,1678.93,3950.84,4270.2,1868.01,1436.05,1862.19,3001.18
SMD2,345.99,762.66,787.13,632.04,486,695.1,800.06,609,711,540.43,369.98,509.69
SMHD1,707.04,1422.56,1940.27,13609.87,1010.01,1258,1880.76,10981.14,1493.97,1176.01,1088.09,11603.13
SMOX,1816.61,2618.52,394.72,895.01,2121,1439.99,621.45,878,1265.63,1983.04,310,726
SMRCD,433.81,782.1,1090,1757.01,603.35,759,1042.02,1494.02,777.96,594,545.01,1442
SMYD2,397,543,457,333.52,286,409,439,276.02,421,385.94,204,188
SMYD4,413,629,5681.09,2364.99,578.68,616,4121.97,1557.99,703,760,3199.01,1415.74
SNAA,930.84,1582.75,577,493,1274,1703.07,669,510.07,1810.37,1405.22,322,364
SNAB,505.75,893.01,354,313,714.07,851,394,321,1016.58,785.3,223.03,257.45
SNAT,1,8,1,2,2,0,4,6,1,2,0,3
SND1,19,23,53,6,27,41,79,9,36,23,25,8
SNF8,134,280.98,779,157,151,241,721,123,248,226,410,177
SNP25,24236.31,39275.97,28,25,25895.84,27700.18,77,13,34126.47,31248.83,20,16
SNPC2,113,234,494.67,218,174,234,362,196,188,181.04,149,143
SNPC3,53,85,94,60,68,84,109,69,134,100,79,77
SNTAN,6,4,83,2,5,4,60,2,20,7,48,1
SNUT1,290.97,475.48,467.04,1133.94,295.93,434.08,389,1125.02,547.99,438.97,258.1,880
SNX1,835,1347,20000.23,7420.27,904,1241.99,18852.61,5577,1029,1092,9016.98,5841
SNX18,1,4,11,158,0,0,19,100,4,9,6,89
SNX25,1457,2387.64,2267.37,2522,1717,2216.21,2541,2313,2343.13,2380.48,1050.02,2147
SNX29,266.14,453,1265.05,210,316.65,397,1464.57,155,498.27,428,879.98,141.25
SNX30,161,295.92,5526.9,1752.55,150,335,5105.5,1319.03,376,314,2861.71,1650.2
SNX33,46,56,168,248,58,59,159,294,69,53,101,288
SNX6,1221,2183.93,2741.9,906,1327.24,1963.25,2565.12,529,2039.11,1684,1295.06,704
SO4C1,87,135,1226,1793.59,68,99,1074.82,1373.89,99,134,685.97,1154.7
SOCS1,11,21,492,24,12,21,158,9,21,20,60,19
SOCS2,133,156,128,201,219,140,133,195,206,136,104.26,165
SOCS3,8,20,476.68,12,15,17,547.13,15,26,15,146,14
SOCS6,55,173,274,115,102,141,271.96,72,139.5,148.99,161,86
SODE,256.99,136,1847.83,172.05,466.23,236,829.98,120,408.35,207.12,604.84,187
SOGA1,1586.98,2236.05,771,172,2054.04,2253,834,142,2096.61,2548.56,532.77,169
SOMA,6,20,13,76.03,6,10,12,33,17,14,10,41
SORL,4372,5395.56,1445.08,333,5344.45,4664.05,1372,244,5632.27,5893.06,698,286
SOSB1,84,153,349,772.59,109,142,285.84,630,203.81,146,154,587
SOSD1,91,1072.94,56.04,6,333,208,121,25,231,396,50,66
SOX1,1,4,0,0,1,8,0,0,10,6,0,0
SOX11,1,3,1,0,1,5,1,0,2,2,0,0
SOX14,18,289,2,1,93,21,21,0,1,103,2,0
SOX21,18,44,4,9,24,38,4,6,36,29,2,7
SOX3,73,142.03,571.01,13,78,69,601,8,64,67,365,4
SOX4,150,211,329,47,203,214,378.62,30,273,215.01,237.01,46
SOX5,29,101,31,15,46,139,32,16,194,74,28,5
SP16H,0,0,0,1,0,0,0,0,0,1,1,0
SP2,191,273,449,464,236,263,360,443,282,275,240,392
SP5,25,109,58,36,82,26,67,41,25,65,27,37
SP7,0,0,0,2,1,2,0,3,0,1,0,3
SP8,0,0,0,1,0,2,0,3,1,1,0,1
SP9,1,0,0,1,2,6,0,1,3,6,0,2
SPAG5,355,36,2102.01,4945.7,432,53.1,1602.01,5280.95,23,404,812,5238.76
SPAG6,91.99,253,190,5296.99,157.49,393.99,80,5059.04,778,237,46,4271.04
SPAG7,614,1116.11,705,271,669.08,766,589,203,1014,1314,325.9,326
SPAG8,0,1,2,965.87,1,0,1,1363.04,5,2,0,916
SPAT1,26,26,124,666.01,15,32,72,701.3,15,13,37.11,354.48
SPB10,0,0,0,3,0,0,0,1,0,0,0,3
SPB12,4,2,25,14,2,0,13,11,3,3,10,12
SPB5,3,16,130,53,8,38,83,45,39,18,75,40
SPC24,15,22,467.75,242,12,23,398.39,204,31,16,172.31,157
SPC25,49,110,1228,6659.45,77,107.1,1018.33,4428,183,107,542.93,4277.03
SPCS2,632.27,1298.75,1127,4404.32,930.35,1444,1063.01,4456.99,1354,1158.07,492,4065.07
SPD1B,6,11,314,64,6,14,273,66,10,6,163,93
SPD2A,1,25,8,20,12,17,18,14,21,6,5,8
SPDEF,1,7,22,3,5,3,3,1,1,2,4,1
SPEF2,52,181.17,22,2368.63,110,306,27,1812.98,192,150.03,11,1880.19
SPEG,7,21,0,0,8,9,0,0,15,5,0,0
SPERI,1,3,4,4765.44,2,1,1,5277.11,0,3,4,4301
SPERT,11,16,29,24875.78,6,5,2,22930.42,22,16,19,18424.5
SPG17,0,0,0,27,0,1,0,42,1,0,0,49
SPG21,7,9,12,4,7,4,13,9,11,10,6,5
SPIC,0,1,6,7,0,2,0,15,0,1,7,9
SPOP,553.97,858,1280.35,1846,762.18,886.92,1321.12,1326.96,931.68,943.98,594.01,1389.23
SPSB1,184,364,918.2,6555,183,214,1337,5593.79,266,238.03,565,4954.06
SPT16,1,0,0,1680,0,4,0,2216,7,4,1,1534.04
SPT5H,0,0,0,0,0,1,0,9,0,0,0,5
SPT6H,45,69,65,48,60,72,72,45,91,68,46,48
SPTB2,87,106,5,145,130,70,13,97,130,144,8,137
SPTN4,295.9,512.98,123,44.9,423.31,390.47,89,45,464.96,453,42.01,49
SPTSB,3,0,8,261,2,0,1,112,3,0,1,96
SPY2,484,1034.99,301,80,648,908.53,323,51,942.99,865,118.01,73
SRB4D,1,1,1,1,0,0,0,0,1,0,1,0
SRCAP,211,296,326,309,266.73,298.13,303,349.93,289,313,228,396
SRCH,3,8,6,0,27,52,27,2,29,50,9,4
SRCRL,5,13,3,1,20,6,9,1,9,21,1,0
SRGN,13,29,82,3,24,12,68,4,23,9,31,4
SRMS,0,1,32,1,4,10,4,3,5,4,10,3
SRPK3,18.34,46,304.01,253,20,44.96,267,215.02,57,49.63,132,186
SRRTA,96,186,151,420,121,152,96,406,158,159,60,324
SRSF1,4095.07,6313.27,6460.04,4428.4,5517.01,5976.66,6505.58,3525,5717.5,6707.01,3441.13,3568.04
SRSF6,3899.27,5897.38,7597.51,4004.19,5362.19,6237.14,6772.14,3335.88,6523.12,6239.22,4037.43,3832.64
SRXN1,124,195,201,23,212,207,312.64,59,156,140,132,19
SSBP2,135,573.13,183,319.79,185,674.37,168,278.17,692.31,480.05,143,296
SSBP3,359,754,667.89,346,439.34,572,534.93,341.94,644.99,573.01,392.19,446
SSDH,4798.19,9709.86,1568.03,1231.99,5224.51,7682.29,1357.79,1428.01,8127.58,6818.39,862,1112.88
SSPO,1,0,0,0,0,0,0,0,0,0,1,0
SSRB,549,1034,2449,691,553,947.99,1981,617,937.04,880,1024.01,461
SSRD,335,620,424.01,644,433,535,314,806,584.9,614,259,631
ST14,0,0,0,0,0,1,1,0,0,1,0,0
ST1B1,0,0,2,0,0,0,1,0,0,0,0,0
ST1C4,0,0,0,0,0,1,0,0,1,0,0,0
ST2B1,12,12,24,113,11,10,6,137,54,58.21,17,504.17
ST4A1,3163.68,5715.72,319.01,131,3267.99,5738.98,367.99,107,6306.3,4792.38,172,111
STAB2,0,1,1,2,0,0,1,0,0,0,3,0
STAC3,8,7,46,99,1,2,64,18,5,2,33,50
STAG3,6,19,45,104,3,16,22,56,6,13.04,15,47
STAR,0,3,22,9,0,0,29,8,1,0,6,2
STAR3,310,532,1344.09,750.83,344.39,503,1192.22,844.49,461.45,446.98,704.53,874.01
STAR4,439,628,130,24,414,637,96,5,348,902.11,64,21
STAR7,409,749.04,789,606,437,639.08,667,637,717,586,308,529.86
STAT4,2,0,6,11,0,0,4,1,1,0,5,8
STBD1,57,203,2401,14,73,152,1939.44,9,190,108,1334.03,22
STC2,59,84,45,69,41,194,71,74,194,64,39,62
STEA4,1,1,23,25,1,1,21,17,0,1,16,38
STIP1,473,891,819,1158,640,880.03,878,1099,949,858.01,455.01,971
STK38,16,30,149,29,14,35,140.85,26,39,25,75,32
STMN4,2340.1,3461.35,14,10,2494.57,4282.63,42.01,2,3514.18,3798.14,8,2
STRAP,781.21,1396.07,2844.64,1116.47,939.14,1432.32,3232,884.77,1784.59,1152.07,1757.29,806
STRN4,11,19,23.99,11,21,25,17,12,17,17,5,15
STX1B,2408.17,5498.54,197.63,88,3692.61,4661.44,157,76,3936.99,3706.66,121,47
STX3,4.89,3,15,12,4,2,13,7,3,1,0,8
STX5,140,265,589.39,98,187,267.01,538.01,105,292.82,313,251,129
STX8,302,510.61,1876.45,531,409,476.94,1984,487.88,471,456,807,431
STYL1,6,13,43,924.98,10,6,16,1121,9,9,10,910.63
SUGT1,751,1588.87,2679.73,1395.9,956,1396,3017.6,1038,1552,1262.6,1141.33,1005
