Species,Class,Label,UnimapRate,UngapRate,AdjN50Scaffold,AdjN50Config,Transcript_diversity,Quant.rate (Amb),Quant.rate_(Abs),Quant.rate,MultiMapRate,MapRate,NGS applicability index
Cercocebus atys,Mammalia,Mammalia,0.832036667,0.762466862,0.2736842,0.2842105,0.330533138,0.992412725,0.636272284,0.524234892,0.978876667,0.853156667,0.64678846
Chinchilla lanigera,Mammalia,Mammalia,0.55824,0.713381263,0.3789474,0.1684211,0.601059025,0.977971782,0.823641655,0.467439321,0.971533333,0.586713333,0.624734821
Chlorocebus sabaeus,Mammalia,Mammalia,0.66724,0.415605715,0.5263158,0.2526316,0.375640559,0.963415675,0.692506747,0.375577646,0.92703,0.74022,0.593618374
Ciona intestinalis,Ascidiacea,Ascidiacea,0.43278,0.981362891,0.7789474,0.4210526,0.013763783,0.983100023,0.959347817,0.231849486,0.98119,0.45158,0.6234974
Coturnix japonica,Aves,Aves,0.805033333,0.974140784,0.2105263,0.5368421,0.446081796,0.982706616,0.812109514,0.647086503,0.96054,0.84449,0.721955695
Cyclopterus lumpus,Actinopteri,Actinopteri,0.788393333,0.998738131,0.6736842,0.7578947,0.073202835,0.994559459,0.910889965,0.326308716,0.908163333,0.880216667,0.731205134
Cynoglossus semilaevis,Actinopteri,Actinopteri,0.805306667,0.88460993,0.08421053,0.3578947,0.003892671,0.950270604,0.871935737,0.669236709,0.923806667,0.881496667,0.643266088
Cyprinodon variegatus,Actinopteri,Actinopteri,0.515106667,0.630167025,0.06315789,0.1157895,0.003404021,0.986308238,0.965494945,0.271645666,0.972753333,0.542363333,0.506619062
Cyprinus carpio carpio,Actinopteri,Actinopteri,0.88402,0.998647219,0.4736842,0.7157895,0.176268962,0.881931697,0.913270341,0.703936176,0.948416667,0.935613333,0.76315781
Danio rerio,Actinopteri,Actinopteri,0.82633,0.93514286,0.1894737,0.5052632,0.263459747,0.970492499,0.894934121,0.730812562,0.94653,0.879786667,0.714222536
Dicentrarchus labrax,Actinopteri,Actinopteri,0.83223,0.99901087,0.7473684,0.9263158,0.096230651,0.898094082,0.85880988,0.622970235,0.950716667,0.881506667,0.781325325
Drosophila melanogaster,Insecta,Insecta,0.71191,0.997919917,0.9789474,1,0.480954423,0.969721516,0.992841148,0.342633959,0.849316667,0.8626,0.818684503
Equus caballus,Mammalia,Livestock,0.85495,0.977140904,0.5684211,0.5473684,0.499422819,0.988145364,0.722531406,0.610964022,0.955233333,0.89971,0.762388735
Esox lucius,Actinopteri,Actinopteri,0.82282,0.997876279,0.6421053,0.6421053,0.252846954,0.985965036,0.807644319,0.660357842,0.940213333,0.882616667,0.763455103
Felis catus,Mammalia,Mammalia,0.79561,0.998603581,0.5578947,0.8947368,0.529572817,0.98992801,0.594957834,0.421795726,0.94567,0.849936667,0.757870614
Ficedula albicollis,Aves,Aves,0.56089,0.967245963,0.3263158,0.4315789,0.200604327,0.979919209,0.782586348,0.489545055,0.973726667,0.587183333,0.62995956
Fundulus heteroclitus,Actinopteri,Actinopteri,0.711103333,0.598009375,0.09473684,0.08421053,0.00075655,0.972574847,0.790452799,0.6045929,0.9746,0.736506667,0.556754384
Gadus morhua,Actinopteri,Actinopteri,0.801406667,0.995581641,0.7263158,0.5789474,0.26724401,0.986904896,0.802866856,0.639238329,0.930196667,0.871213333,0.75999156
Gallus gallus,Aves,Livestock,0.78124,0.998316296,0.9368421,0.9157895,0.739071531,0.957497588,0.903761696,0.69592506,0.969006667,0.81224,0.870969044
Haplochromis burtoni,Actinopteri,Actinopteri,0.80304,0.77790748,0.1052632,0.1789474,0.022201091,0.968690102,0.704253755,0.524409927,0.983186667,0.81984,0.588773962
Homo sapiens,Mammalia,Human & Mouse,0.88433,0.997596267,0.4631579,0.9052632,1,0.903689125,0.933656433,0.758444403,0.96714,0.917176667,0.8730454
Ictalurus punctatus,Actinopteri,Actinopteri,0.627156667,0.910654608,0.3894737,0.3894737,0.052774206,0.960350646,0.906763419,0.563756697,0.95605,0.67111,0.642756364
Ictidomys tridecemlineatus,Mammalia,Mammalia,0.799026667,0.487234035,0.2315789,0.09473684,0.388502949,0.975502,0.803212033,0.617414398,0.9736,0.825416667,0.619622449
